baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
61E3.4	877.991838260902	-1.28650618544624	0.389953445768048	-3.29912762512548	0.000969858066366949	0.0061233666120487
A2M	3521.73976363928	1.63446519307549	0.282238675017649	5.79107449740291	6.99375453105403e-09	4.31536032854993e-07
AADAT	89.7507077459801	-1.15878629058304	0.328641426624336	-3.52598971616451	0.000421903351506358	0.00321201204568149
ABCA12	53.8015162587965	-4.68648679534876	1.05927309846375	-4.42424791316377	9.677883521327e-06	0.000159009876925989
ABCA13	53.5884556128123	-2.16476722518059	0.594158526408772	-3.64341691478356	0.000269042524289587	0.00227458702932206
ABCA6	82.7059456060123	1.52606783772643	0.309631712529121	4.9286548372622	8.27977021623558e-07	2.18270808125763e-05
ABCA8	388.574822963883	4.10585183439975	0.514764097991355	7.97618142061785	1.50930046477819e-15	7.35393640252271e-13
ABCB1	1318.40756737167	1.79240691299067	0.40563090208782	4.41881253071446	9.9244686229771e-06	0.000161942247869938
ABCB11	28.3834861959849	2.75255523958219	0.614684251444221	4.47799863607205	7.53460828358566e-06	0.000130151607636999
ABCC1	555.961395755458	-1.41106874918528	0.245858671986339	-5.73934910566705	9.50411216650155e-09	5.57232800467498e-07
ABCC2	39.746006347909	-2.1653042945666	0.629492670060798	-3.43976093376508	0.000582228234139258	0.00416129739422747
ABCD3	1726.45698665362	1.05102478007263	0.190687294561042	5.51177141870968	3.55240085210724e-08	1.63503009903177e-06
ABCG2	296.234230349626	4.24772649086521	0.564072141281978	7.53046672578319	5.05592743663196e-14	1.5200054187151e-11
ABHD3	329.055151243409	1.52789298136455	0.335466325031358	4.55453459068275	5.25016855312577e-06	9.83884372091076e-05
ABI3BP	143.421431637797	1.57006729527878	0.506932800672871	3.09719018614453	0.00195364489597711	0.0106970862116364
ABLIM2	108.466023321068	-1.67393705549778	0.397172294174455	-4.21463702289999	2.50180225067527e-05	0.000339581804054194
ABP1	687.729955059124	1.35509209768477	0.355921029519903	3.8072830355448	0.000140501911251724	0.0013691669006806
ACAA2	1144.3403434362	1.0164847173438	0.233079569158601	4.36110604208351	1.2940662698192e-05	0.000199619611272329
ACACA	1017.93993062637	-1.02513126241389	0.251794246069796	-4.07130535512605	4.67504177359216e-05	0.000569959795175644
ACADS	99.775396365253	1.61706733979262	0.306714939239586	5.2722157707795	1.34786479624017e-07	5.09233410985924e-06
ACAN	36.574662899429	-2.96099693924554	0.4517535069867	-6.55445257967353	5.5846357382178e-11	6.80266405008772e-09
ACAT1	708.42099752266	1.55668125351406	0.334357366157776	4.65574086613511	3.22817754213703e-06	6.60110485209759e-05
ACBD7	26.8071837470861	-1.78507994135644	0.574291596100418	-3.10831632132103	0.00188156563156239	0.0103782043507551
ACO2	975.558871672387	1.02173324986965	0.172182864856714	5.93400075390727	2.95640471161166e-09	2.05783244212181e-07
ACP5	82.0431407507552	1.41394279335564	0.455449734328155	3.10449800885576	0.00190602210651799	0.0104916604460846
ACRC	40.2823752731202	-1.2761894766967	0.39451564090806	-3.23482606103849	0.00121716855718037	0.00731986260534274
ACSF2	155.53154947612	1.59700606970599	0.340878078022303	4.68497733550791	2.7999091356764e-06	5.85877707332498e-05
ACSL6	234.695598865933	-3.67666081550463	0.766016909976428	-4.79971234005496	1.58893689219634e-06	3.70681799695448e-05
ACSS2	560.172823856495	1.1005248241772	0.293363348620392	3.75140531137466	0.000175846163978926	0.00163934791897896
ACTR3B	49.7759955174882	-1.26097422071571	0.288907981194959	-4.36462231157534	1.27342583278217e-05	0.000197297226065922
ACTRT3	18.0964656280385	-1.48890226520597	0.436802022475077	-3.40864324933598	0.000652867975430392	0.00452650858333241
ACVRL1	668.105636301405	1.04114469877589	0.339237015573929	3.06907752096113	0.0021472086635576	0.0115142536683373
ADA	17.8218032412451	-1.37780681131646	0.523998331379527	-2.6294106847423	0.00855329966632029	0.032949325050465
ADAM12	84.6388535087947	-3.4280129254964	0.61210930885333	-5.60032803931397	2.13946549001842e-08	1.05701564244616e-06
ADAM19	545.874520044384	-1.59090536317975	0.505034493104618	-3.15009248853463	0.00163218782721091	0.00929202820245371
ADAM20	10.8291814940379	-1.62488420751082	0.658148851776285	-2.46887038262758	0.0135540303789117	0.0465756893122656
ADAM28	349.699841909548	1.28776886020077	0.39404039320323	3.26811383404693	0.0010826681072187	0.00666583893464065
ADAM33	33.6312897758744	1.30900936616507	0.48027710690607	2.72552938156403	0.00641984622960045	0.026462201640681
ADAM8	45.0617676277939	-1.51079058565005	0.439598080182274	-3.43675428478582	0.000588729432162803	0.00419080447176847
ADAMDEC1	2415.96278862047	3.28407834454064	0.657996992767793	4.99102333390085	6.00602408825639e-07	1.736920180207e-05
